INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,70477723,678777,14730985,21169082,114660339
4,64,64,9,10,14480695,808452,94735184,17474605,18753250
4,64,0,5,8,70098843,680790,4407815,7537895,36366307
4,64,0,9,10,14101815,844926,126787214,11172663,7877095
4,64,64,5,8,70477723,727502,14758474,21148810,114660339
4,64,64,9,10,14480695,831715,94662723,17537922,18753250
4,64,0,5,8,70098843,694076,4425048,7571533,36366307
4,64,0,9,10,14101815,818669,126495342,11393042,7877095
4,64,64,5,8,70477723,711761,14668183,21126655,114660339
4,64,64,9,10,14480695,850200,94639692,17502731,18753250
4,64,0,5,8,70098843,696956,4435265,7542401,36366307
4,64,0,9,10,14101815,820932,126630043,11682344,7877095
