INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,6375567,60969,775827,864290,10324267
4,16,32,9,10,1579602,74471,1598858,771676,2120935
4,16,0,5,8,6128527,63333,352615,538782,3203343
4,16,0,9,10,1332562,70616,1242106,575877,795642
4,16,32,5,8,6375567,67456,720767,828244,10324267
4,16,32,9,10,1579602,72859,1602263,783824,2120935
4,16,0,5,8,6128527,61274,343844,510516,3203343
4,16,0,9,10,1332562,71919,1214312,582282,795642
4,16,32,5,8,6375567,62120,705197,858590,10324267
4,16,32,9,10,1579602,77434,1582401,786935,2120935
4,16,0,5,8,6128527,62958,331587,514020,3203343
4,16,0,9,10,1332562,72088,1211502,583072,795642
